ticker,company,reason
BRKA,berkshire hathaway,No data
PARA,paramount global,No data
DFS,discover financial,No data
X,united states steel,No data
JWN,nordstrom,No data
BERY,berry global,No data
BGST,brightspring health services,No data
QRTEA,qvc group,No data
ACE,ace hardware,No data
EDR,endeavor group holdings,No data
PDCO,patterson companies inc,No data
PXD,pioneer natural resources,No data
LSXMA,liberty media,No data
CLR,continental resources,No data
ENLC,enlink midstream,No data
MRO,marathon oil,No data
JNPR,juniper networks,No data
SAVE,spirit airlines,No data
TPX,tempur sealy international,No data
CTLT,catalent,No data
BF B,brown-forman,No data
CHX,championx,No data
MOG A,moog inc,No data
ARCH,arch resources,No data
VSTO,vista outdoor,No data
RDUS,radius recycling,No data
AE,adams resources & energy,No data
HA,hawaiian airlines inc,No data
SRCL,stericycle,No data
SUM,summit materials,No data
CEIX,consol energy,No data
